"State","County","RuralUrbanContinuum1993"
"MN","077",9
"MN","079",6
"MN","081",9
"MN","083",7
"MN","085",6
"MN","087",9
"MN","089",8
"MN","091",7
"MN","093",6
"MN","095",6
"MN","097",6
"MN","099",4
"MN","101",9
"MN","103",7
"MN","105",7
"MN","107",8
"MN","109",3
"MN","111",7
"MN","113",7
"MN","115",6
"MN","117",7
"MN","119",3
"MN","121",6
"MN","123",0
"MN","125",9
"MN","127",7
"MN","129",7
"MN","131",4
"MN","133",6
"MN","135",9
"MN","137",3
"MN","139",1
"MN","141",1
"MN","143",8
"MN","145",3
"MN","147",7
"MN","149",7
"MN","151",7
"MN","153",6
"MN","155",9
"MN","157",6
"MN","159",7
"MN","161",7
"MN","163",0
"MN","165",7
"MN","167",6
"MN","169",4
"MN","171",1
"MN","173",7
"MS","001",7
"MS","003",7
"MS","005",9
"MS","007",6
"MS","009",8
"MS","011",5
"MS","013",9
"MS","015",9
"MS","017",7
"MS","019",9
"MS","021",8
"MS","023",7
"MS","025",7
"MS","027",7
"MS","029",6
"MS","031",7
"MS","033",1
"MS","035",5
"MS","037",9
"MS","039",6
"MS","041",8
"MS","043",7
"MS","045",2
"MS","047",2
"MS","049",2
"MS","051",6
"MS","053",7
"MS","055",9
"MS","057",7
"MS","059",2
"MS","061",9
"MS","063",9
"MS","065",9
"MS","067",5
"MS","069",9
"MS","071",7
"MS","073",7
"MS","075",5
"MS","077",9
"MS","079",6
"MS","081",5
"MS","083",7
"MS","085",7
"MS","087",5
"MS","089",2
"MS","091",7
"MS","093",6
"MS","095",7
"MS","097",7
"MS","099",7
"MS","101",7
"MS","103",9
"MS","105",7
"MS","107",7
"MS","109",6
"MS","111",9
"MS","113",7
"MS","115",7
"MS","117",7
"MS","119",9
"MS","121",2
"MS","123",6
"MS","125",9
"MS","127",6
"MS","129",8
"MS","131",6
"MS","133",7
"MS","135",9
"MS","137",6
"MS","139",7
"MS","141",6
"MS","143",8
"MS","145",7
"MS","147",9
"MS","149",4
"MS","151",5
"MS","153",7
"MS","155",9
"MS","157",9
"MS","159",7
"MS","161",7
"MS","163",6
"MO","001",7
"MO","003",3
"MO","005",9
"MO","007",6
"MO","009",7
"MO","011",6
"MO","013",6
"MO","015",9
"MO","017",9
"MO","019",3
"MO","021",3
"MO","023",7
"MO","025",8
"MO","027",6
"MO","029",7
"MO","031",5
"MO","033",6
"MO","035",9
"MO","037",1
"MO","039",7
"MO","041",9
"MO","043",2
"MO","045",9
"MO","047",0
"MO","049",1
"MO","051",4
"MO","053",6
"MO","055",6
"MO","057",8
"MO","059",8
"MO","061",9
"MO","063",8
"MO","065",7
"MO","067",6
"MO","069",7
"MO","071",1
"MO","073",6
"MO","075",8
"MO","077",2
"MO","079",7
"MO","081",7
"MO","083",6
"MO","085",9
"MO","087",8
"MO","089",6
"MO","091",7
"MO","093",9
"MO","095",0
"MO","097",3
"MO","099",1
"MO","101",6
"MO","103",9
"MO","105",6
"MO","107",1
"MO","109",6
"MO","111",7
"MO","113",1
"MO","115",7
"MO","117",7
"MO","119",8
"MO","121",7
"MO","123",9
"MO","125",9
"MO","127",5
"MO","129",9
"MO","131",7
"MO","133",7
"MO","135",6
"MO","137",9
"MO","139",8
"MO","141",9
"MO","143",7
"MO","145",3
"MO","147",6
"MO","149",9
"MO","151",9
"MO","153",9
"MO","155",7
"MO","157",7
"MO","159",7
"MO","161",7
"MO","163",6
"MO","165",0
"MO","167",6
"MO","169",7
"MO","171",9
"MO","173",9
"MO","175",6
"MO","177",1
"MO","179",9
"MO","181",9
"MO","183",0
"MO","185",9
"MO","186",6
"MO","187",6
"MO","189",0
"MO","195",7
"MO","197",9
"MO","199",9
"MO","201",5
"MO","203",9
"MO","205",9
"MO","207",7
"MO","209",8
"MO","211",9
"MO","213",6
"MO","215",9
"MO","217",7
"MO","219",1
"MO","221",6
"MO","223",9
"MO","225",2
"MO","227",9
"MO","229",6
"MO","510",0
"MT","001",7
"MT","003",6
"MT","005",9
"MT","007",9
"MT","009",8
"MT","011",9
"MT","013",3
"MT","015",8
"MT","017",7
"MT","019",9
"MT","021",7
"MT","023",7
"MT","025",9
"MT","027",7
"MT","029",5
"MT","031",5
"MT","033",9
"MT","035",7
"MT","037",8
"MT","039",9
"MT","041",7
"MT","043",9
"MT","045",8
"MT","047",7
"MT","049",5
"MT","051",9
"MT","053",7
"MT","055",9
"MT","057",9
"MT","059",8
"MT","061",9
"MT","063",5
"MT","065",8
"MT","067",7
"MT","069",9
"MT","071",9
"MT","073",7
"MT","075",9
"MT","077",7
"MT","079",9
"MT","081",7
"MT","083",7
"MT","085",7
"MT","087",7
"MT","089",9
"MT","091",9
"MT","093",5
"MT","095",8
"MT","097",9
"MT","099",8
"MT","101",7
"MT","103",8
"MT","105",7
"MT","107",9
"MT","109",9
"MT","111",3
"NE","001",5
"NE","003",9
"NE","005",9
"NE","007",9
"NE","009",9
"NE","011",9
"NE","013",7
"NE","015",9
"NE","017",9
"NE","019",5
"NE","021",8
"NE","023",6
"NE","025",2
"NE","027",9
"NE","029",9
"NE","031",7
"NE","033",7
"NE","035",9
"NE","037",7
"NE","039",7
"NE","041",7
"NE","043",3
"NE","045",7
"NE","047",7
"NE","049",9
"NE","051",8
"NE","053",4
"NE","055",2
"NE","057",9
"NE","059",9
"NE","061",9
"NE","063",9
"NE","065",9
"NE","067",6
"NE","069",9
"NE","071",9
"NE","073",9
"NE","075",9
"NE","077",9
"NE","079",5
"NE","081",7
"NE","083",9
"NE","085",9
"NE","087",9
"NE","089",7
"NE","091",9
"NE","093",9
"NE","095",7
"NE","097",8
"NE","099",7
"NE","101",7
"NE","103",9
"NE","105",6
"NE","107",9
"NE","109",3
"NE","111",5
"NE","113",9
"NE","115",9
"NE","117",9
"NE","119",5
"NE","121",7
"NE","123",9
"NE","125",9
"NE","127",7
"NE","129",9
"NE","131",6
"NE","133",9
"NE","135",9
"NE","137",7
"NE","139",9
"NE","141",7
"NE","143",9
"NE","145",7
"NE","147",7
"NE","149",9
"NE","151",6
"NE","153",2
"NE","155",6
"NE","157",5
"NE","159",6
"NE","161",9
