Schema,Extension,Ext Recode
63,"520,550",2
63,"600,605",2
63,"610,615",2
63,620,7
63,"630,625,635",2
63,640,2
63,645,2
63,650,2
63,660,2
63,700,7
63,710,7
63,720,7
63,730,7
63,"750,780",7
63,800,7
63,950,9
63,999,9
34,000,0
34,"100,150",1
34,200,1
34,300,1
34,400,2
34,440,2
34,480,2
34,500,2
34,560,2
34,570,2
34,580,2
34,590,7
34,"595,600",2
34,"620,650,670",2
34,700,7
34,710,7
34,730,2
34,"750,760",7
34,770,7
34,780,7
34,"790,810",2
34,800,7
34,950,9
34,999,9
33,000,0
33,"100,150",1
33,200,1
33,300,1
33,400,2
33,420,2
33,440,2
33,500,2
33,540,2
33,550,7
33,570,7
33,"575,580",2
33,590,7
33,"593,595,600",2
33,610,7
33,630,7
33,640,2
33,650,7
33,660,2
33,670,7
33,680,7
33,690,7
33,780,7
33,800,7
33,810,2
33,950,9
33,999,9
14,000,0
14,100,1
14,310,1
14,"300,305",1
14,350,2
14,"400,402",2
14,"405,406",7
14,408,2
14,420,2
14,450,2
14,"500,505",2
14,510,7
14,"700,705,708",7
14,720,7
14,"725,740,750",2
14,"755,758",7
14,760,2
14,770,7
14,800,7
14,"810,815",2
14,950,9
14,999,9
68,000,0
68,050,0
68,070,1
68,100,1
68,"300,310,320",1
68,350,1
68,"305,360,400,410,460",2
68,"500,550",2
68,560,1
68,600,2
68,620,2
68,650,7
68,"700,810",2
68,800,7
68,950,9
68,999,9
57,100,1
57,"150,180",2
57,"300,350,360",1
57,"370,375,380",1
57,400,2
57,"510,520",2
57,"530,630,650,660,725,735",7
57,"580,600,610,620,640",2
57,"710,720,722,728,730,785,790",2
57,"750,780",1
57,"795,800",7
57,950,9
57,999,9
67,000,0
67,100,1
67,"300,330,340,350",1
67,"320,400",2
67,"600,620,850",2
67,"700,720",7
67,800,7
67,950,9
67,999,9
49,100,6
49,120,6
49,140,6
49,"160,170",6
49,200,6
49,"300,305",6
49,420,6
49,"500,510",6
49,520,6
49,"610,620",6
49,630,6
49,650,6
49,690,6
49,780,6
49,"800,850",6
49,950,6
49,999,6
69,000,0
69,100,1
69,130,1
69,140,1
69,150,1
69,200,1
69,210,1
69,220,1
69,230,1
69,240,1
69,300,1
69,310,1
69,330,1
69,340,1
69,410,2
69,420,2
69,430,2
69,"440,445",2
69,"450,470",2
69,490,2
69,"500,510",2
69,520,2
69,600,7
69,700,7
69,750,2
69,950,9
69,999,9
26,000,0
26,050,0
26,100,1
26,110,1
26,120,1
26,130,1
26,140,1
26,"150,155",1
26,"160,165,170,180,190",1
26,"200,210,250,270",1
26,300,1
26,"400,415,440",1
26,410,2
26,420,2
26,"450,455,458",2
26,"460,470",2
26,490,2
26,"500,555,560",1
26,"550,565",2
26,570,2
26,"600,610",2
26,"700,810,850,900",2
26,800,7
26,950,9
26,999,9
74,000,0
74,"050,060",0
74,"100,105,150",1
74,"120,130",2
74,"200,220,230",2
