Histology,Primary Site,EOD 4dig Ext,EOD 4dig Nodes,Stage
"8000-9134,9141-9589",570-574,"1,3-5,7,9","2-3,7",4
"8000-9134,9141-9589","570-574,577-579",9,"0,9",9
"8000-9134,9141-9589","570-574,577-578",0,0-9,0
"8000-9134,9141-9589","570-574,577-579","1,3","0,9",1
"8000-9134,9141-9589",577-579,4-7,"0,9",2
"8000-9134,9141-9589",577-579,"1,3,9","1-4,8",2
"8000-9134,9141-9589",577-579,"4,7","1-4,8",2
"8000-9134,9141-9589",577-579,"1,3-4,7,9",7,4
"8000-9134,9141-9589",577-579,8,"0-4,7-9",4
"8000-9134,9141-9589",600-609,0,0-9,0
"8000-9134,9141-9589",600-609,"1,3","0,9",1
"8000-9134,9141-9589",600-609,4-5,"0,9",2
"8000-9134,9141-9589",600-609,"1,3,9","1,8",2
"8000-9134,9141-9589",600-609,4-5,"1,8",2
"8000-9134,9141-9589",600-609,"1,3-5,9",7,4
"8000-9134,9141-9589",600-609,8,"0-1,7-9",4
"8000-9134,9141-9589",600-609,9,"0,9",9
"8000-9134,9141-9589",619,0,0-9,0
"8000-9134,9141-9589",619,1-3,"0,9",1
"8000-9134,9141-9589",619,4-7,"0,9",2
"8000-9134,9141-9589",619,"1-3,9","1-2,4-5,8",2
"8000-9134,9141-9589",619,4-7,"1-2,4-5,8",2
"8000-9134,9141-9589",619,"1-7,9",6-7,4
"8000-9134,9141-9589",619,8,"0-2,4-9",4
"8000-9134,9141-9589",619,9,"0,9",9
"8000-9134,9141-9589",620-629,0,0-9,0
"8000-9134,9141-9589",620-629,1-3,"0,9",1
"8000-9134,9141-9589",620-629,4-7,"0,9",2
"8000-9134,9141-9589",620-629,"1-3,9","1-2,5,8",2
"8000-9134,9141-9589",620-629,4-7,"1-2,5,8",2
"8000-9134,9141-9589",620-629,8,0-9,4
"8000-9134,9141-9589",620-629,"1-7,9","3-4,6-7",4
"8000-9134,9141-9589",620-629,9,"0,9",9
"8000-9134,9141-9589",630-639,0,0-9,0
"8000-9134,9141-9589",630-639,"1,3","0,9",1
"8000-9134,9141-9589",630-639,4,"0,9",2
"8000-9134,9141-9589",630-639,"1,3,9","1,8",2
"8000-9134,9141-9589",630-639,4,"1,8",2
"8000-9134,9141-9589",630-639,"1,3-4,9",7,4
"8000-9134,9141-9589",630-639,8,"0-1,7-9",4
"8000-9134,9141-9589",630-639,9,"0,9",9
"8000-9134,9141-9589",649,0,0-9,0
"8000-9134,9141-9589",649,1-3,"0,9",1
"8000-9134,9141-9589",649,4-7,"0,9",2
"8000-9134,9141-9589",649,"1-3,9","1-4,8",2
"8000-9134,9141-9589",649,4-7,"1-4,8",2
"8000-9134,9141-9589",649,8,0-9,4
"8000-9134,9141-9589",649,"1-7,9",5-7,4
"8000-9134,9141-9589",649,9,"0,9",9
"8000-9134,9141-9589","659,669,680-689",0,0-9,0
"8000-9134,9141-9589","659,669,680-689","1,3","0,9",1
"8000-9134,9141-9589","659,669","2,4-7","0,9",2
"8000-9134,9141-9589","659,669,680-689","1,3,9","1-6,8",2
"8000-9134,9141-9589","659,669","2,4-7","1-6,8",2
"8000-9134,9141-9589","659,669,680-689",8,0-9,4
"8000-9134,9141-9589","659,669,680-689","1-7,9",7,4
"8000-9134,9141-9589","659,669,680-689",9,"0,9",9
"8000-9134,9141-9589",670-679,0-3,"0,9",1
"8000-9134,9141-9589",670-679,4-7,"0,9",2
"8000-9134,9141-9589",670-679,"0-3,9","1-4,8",2
"8000-9134,9141-9589",670-679,4-7,"1-4,8",2
"8000-9134,9141-9589",670-679,"0-7,9",5-7,4
"8000-9134,9141-9589",670-679,8,0-9,4
"8000-9134,9141-9589",670-679,9,"0,9",9
"8000-8719,8800-9134,9141-9589","680-681,688-689",2,"0,9",1
"8000-8719,8800-9134,9141-9589","680-681,688-689","2,9","1-6,8",2
8720-8799,680-689,2,"0,9",2
"8000-9134,9141-9589",680-689,4-7,"0,9",2
"8000-9134,9141-9589",680-689,4-7,"1-6,8",2
8720-8799,680-689,2,"1-6,8",2
"8000-9134,9141-9589",680-689,9,"0,9",9
"8000-8719,8800-9134,9141-9589",682-687,2,"0,9",2
"8000-8719,8800-9134,9141-9589",682-687,2,"1-6,8",2
8720-8799,"690,695-697",2,"0,9",2
8720-8799,"690,695-697",2,"1,8",2
"8000-9134,9141-9589",690-699,0,0-9,0
"8000-9134,9141-9589",690-699,"1,3","0,9",1
"8000-8719,8800-9134,9141-9589",690-699,2,"0,9",2
"8000-9134,9141-9589",690-699,4,"0,9",2
"8000-9134,9141-9589",690-699,"1,3,9","1,8",2
"8000-8719,8800-9134,9141-9589",690-699,2,"1,8",2
"8000-9134,9141-9589",690-699,4,"1,8",2
"8000-9134,9141-9589",690-699,"1-4,9",7,4
"8000-9134,9141-9589",690-699,8,"0-1,7-9",4
"8000-9134,9141-9589",690-699,9,"0,9",9
8720-8799,"691-694,698-699",2,"0,9",1
8720-8799,"691-694,698-699","2,9","1,8",2
"8000-9134,9141-9589",700-709,"4-5,7",9,2
"8000-9134,9141-9589","700-709,720-729",8,9,4
"8000-9134,9141-9589","700-709,720-729","1,3",9,1
